athlete	team	medal	year	sport
athlete_000452	United States	Gold	2012	sport_12
athlete_000453	United States	Silver	2013	sport_13
athlete_000454	United States	Bronze	2014	sport_14
athlete_000455	United States	NA	2015	sport_15
athlete_000456	Italy	Bronze	2016	sport_16
athlete_000457	Japan	NA	2017	sport_17
athlete_000458	France	NA	2018	sport_18
athlete_000459	Italy	Bronze	2019	sport_19
athlete_000460	Germany	Gold	2000	sport_20
athlete_000461	France	Gold	2001	sport_21
athlete_000462	United States	Gold	2002	sport_22
athlete_000463	Soviet Union	NA	2003	sport_23
athlete_000464	Italy	Bronze	2004	sport_24
athlete_000465	Japan	Bronze	2005	sport_25
athlete_000466	Germany	Bronze	2006	sport_26
athlete_000467	Italy	NA	2007	sport_27
athlete_000468	Japan	NA	2008	sport_28
athlete_000469	Japan	Gold	2009	sport_29
athlete_000470	United States	NA	2010	sport_30
athlete_000471	United States	NA	2011	sport_31
athlete_000472	Japan	Gold	2012	sport_32
athlete_000473	Kenya	NA	2013	sport_33
athlete_000474	United States	Bronze	2014	sport_34
athlete_000475	Japan	Bronze	2015	sport_35
athlete_000476	Kenya	NA	2016	sport_36
athlete_000477	France	Bronze	2017	sport_37
athlete_000478	United States	NA	2018	sport_38
athlete_000479	United States	NA	2019	sport_39
athlete_000480	France	Bronze	2000	sport_0
athlete_000481	Soviet Union	Gold	2001	sport_1
athlete_000482	Italy	Gold	2002	sport_2
athlete_000483	Japan	NA	2003	sport_3
athlete_000484	Soviet Union	Gold	2004	sport_4
athlete_000485	Kenya	NA	2005	sport_5
athlete_000486	United States	Bronze	2006	sport_6
athlete_000487	Japan	Gold	2007	sport_7
athlete_000488	United States	Silver	2008	sport_8
athlete_000489	Italy	NA	2009	sport_9
athlete_000490	United States	Silver	2010	sport_10
athlete_000491	Italy	Silver	2011	sport_11
athlete_000492	Kenya	NA	2012	sport_12
athlete_000493	Soviet Union	Bronze	2013	sport_13
athlete_000494	France	Bronze	2014	sport_14
athlete_000495	United States	Silver	2015	sport_15
athlete_000496	Soviet Union	NA	2016	sport_16
athlete_000497	Kenya	Silver	2017	sport_17
athlete_000498	United States	Silver	2018	sport_18
athlete_000499	United States	Silver	2019	sport_19
athlete_000500	Kenya	NA	2000	sport_20
athlete_000501	Germany	NA	2001	sport_21
athlete_000502	Germany	NA	2002	sport_22
athlete_000503	France	NA	2003	sport_23
athlete_000504	France	Bronze	2004	sport_24
athlete_000505	France	NA	2005	sport_25
athlete_000506	United States	Gold	2006	sport_26
athlete_000507	United States	Silver	2007	sport_27
athlete_000508	Kenya	NA	2008	sport_28
athlete_000509	Japan	Bronze	2009	sport_29
athlete_000510	Germany	Silver	2010	sport_30
athlete_000511	United States	NA	2011	sport_31
athlete_000512	United States	NA	2012	sport_32
athlete_000513	Italy	NA	2013	sport_33
athlete_000514	Soviet Union	Bronze	2014	sport_34
athlete_000515	Japan	NA	2015	sport_35
athlete_000516	Kenya	Silver	2016	sport_36
athlete_000517	United States	Bronze	2017	sport_37
athlete_000518	Soviet Union	Silver	2018	sport_38
athlete_000519	France	Silver	2019	sport_39
athlete_000520	Japan	Bronze	2000	sport_0
athlete_000521	Japan	NA	2001	sport_1
athlete_000522	United States	Bronze	2002	sport_2
athlete_000523	Germany	Bronze	2003	sport_3
athlete_000524	Italy	Bronze	2004	sport_4
athlete_000525	Germany	NA	2005	sport_5
athlete_000526	Kenya	NA	2006	sport_6
athlete_000527	United States	NA	2007	sport_7
athlete_000528	France	NA	2008	sport_8
athlete_000529	Kenya	NA	2009	sport_9
athlete_000530	Soviet Union	NA	2010	sport_10
athlete_000531	France	NA	2011	sport_11
athlete_000532	Germany	NA	2012	sport_12
athlete_000533	France	NA	2013	sport_13
athlete_000534	France	NA	2014	sport_14
athlete_000535	Japan	Bronze	2015	sport_15
athlete_000536	France	NA	2016	sport_16
athlete_000537	Germany	NA	2017	sport_17
athlete_000538	France	NA	2018	sport_18
athlete_000539	Kenya	NA	2019	sport_19
athlete_000540	United States	NA	2000	sport_20
athlete_000541	France	Gold	2001	sport_21
athlete_000542	Italy	NA	2002	sport_22
athlete_000543	United States	Gold	2003	sport_23
athlete_000544	France	NA	2004	sport_24
athlete_000545	United States	Silver	2005	sport_25
athlete_000546	United States	Bronze	2006	sport_26
athlete_000547	Germany	NA	2007	sport_27
athlete_000548	Japan	NA	2008	sport_28
athlete_000549	United States	Gold	2009	sport_29
athlete_000550	France	NA	2010	sport_30
athlete_000551	United States	NA	2011	sport_31
athlete_000552	Japan	NA	2012	sport_32
athlete_000553	France	Bronze	2013	sport_33
athlete_000554	Japan	NA	2014	sport_34
athlete_000555	Japan	NA	2015	sport_35
athlete_000556	Italy	NA	2016	sport_36
athlete_000557	United States	NA	2017	sport_37
athlete_000558	Germany	NA	2018	sport_38
athlete_000559	United States	Silver	2019	sport_39
athlete_000560	Germany	NA	2000	sport_0
athlete_000561	United States	NA	2001	sport_1
athlete_000562	Germany	NA	2002	sport_2
athlete_000563	Italy	Silver	2003	sport_3
athlete_000564	United States	Silver	2004	sport_4
athlete_000565	Italy	Gold	2005	sport_5
athlete_000566	Italy	NA	2006	sport_6
athlete_000567	United States	NA	2007	sport_7
athlete_000568	Japan	NA	2008	sport_8
athlete_000569	United States	NA	2009	sport_9
athlete_000570	Soviet Union	NA	2010	sport_10
athlete_000571	Germany	Silver	2011	sport_11
athlete_000572	United States	NA	2012	sport_12
athlete_000573	Italy	Bronze	2013	sport_13
athlete_000574	United States	Bronze	2014	sport_14
athlete_000575	United States	NA	2015	sport_15
athlete_000576	Italy	NA	2016	sport_16
athlete_000577	United States	Bronze	2017	sport_17
athlete_000578	United States	NA	2018	sport_18
athlete_000579	Soviet Union	Silver	2019	sport_19
athlete_000580	Kenya	Gold	2000	sport_20
athlete_000581	United States	Silver	2001	sport_21
athlete_000582	Italy	Bronze	2002	sport_22
athlete_000583	France	NA	2003	sport_23
athlete_000584	Germany	NA	2004	sport_24
athlete_000585	Italy	Gold	2005	sport_25
athlete_000586	United States	Bronze	2006	sport_26
athlete_000587	Soviet Union	Silver	2007	sport_27
athlete_000588	United States	NA	2008	sport_28
athlete_000589	Soviet Union	Silver	2009	sport_29
athlete_000590	Germany	NA	2010	sport_30
athlete_000591	United States	Gold	2011	sport_31
athlete_000592	Kenya	Bronze	2012	sport_32
athlete_000593	Japan	NA	2013	sport_33
athlete_000594	Kenya	Gold	2014	sport_34
athlete_000595	Italy	NA	2015	sport_35
athlete_000596	Kenya	Bronze	2016	sport_36
athlete_000597	United States	Silver	2017	sport_37
athlete_000598	Soviet Union	Gold	2018	sport_38
athlete_000599	Italy	Bronze	2019	sport_39
athlete_000600	Italy	Bronze	2000	sport_0
athlete_000601	United States	Gold	2001	sport_1
athlete_000602	Italy	NA	2002	sport_2
athlete_000603	Italy	Gold	2003	sport_3
athlete_000604	France	Gold	2004	sport_4
athlete_000605	Italy	NA	2005	sport_5
athlete_000606	Japan	NA	2006	sport_6
athlete_000607	Soviet Union	Bronze	2007	sport_7
athlete_000608	United States	NA	2008	sport_8
athlete_000609	Italy	NA	2009	sport_9
athlete_000610	Soviet Union	Bronze	2010	sport_10
athlete_000611	Soviet Union	NA	2011	sport_11
athlete_000612	Italy	NA	2012	sport_12
athlete_000613	Soviet Union	Silver	2013	sport_13
athlete_000614	United States	Gold	2014	sport_14
athlete_000615	France	Silver	2015	sport_15
athlete_000616	Germany	Bronze	2016	sport_16
athlete_000617	Germany	Bronze	2017	sport_17
