athlete	country	medal	year
athlete_063	USA	Silver	2020
athlete_064	USA	Silver	2021
athlete_065	JPN	Gold	2022
athlete_066	USA	Gold	2020
athlete_067	USA	Silver	2021
athlete_068	USA	Bronze	2022
athlete_069	USA	Bronze	2020
athlete_070	USA	Gold	2021
athlete_071	GER	Gold	2022
athlete_072	GER	Silver	2020
athlete_073	USA	Gold	2021
athlete_074	USA	Gold	2022
athlete_075	JPN	Bronze	2020
athlete_076	JPN	Silver	2021
athlete_077	USA	Bronze	2022
athlete_078	USA	Gold	2020
athlete_079	JPN	Bronze	2021
athlete_080	GER	Gold	2022
athlete_081	GBR	Silver	2020
athlete_082	GER	Gold	2021
athlete_083	GER	Silver	2022
athlete_084	JPN	Gold	2020
athlete_085	JPN	Bronze	2021
athlete_086	GER	Gold	2022
athlete_087	USA	Bronze	2020
athlete_088	JPN	Bronze	2021
athlete_089	GBR	Bronze	2022
athlete_090	USA	Silver	2020
athlete_091	GER	Silver	2021
athlete_092	GBR	Silver	2022
athlete_093	GER	Silver	2020
athlete_094	GER	Bronze	2021
athlete_095	JPN	Silver	2022
athlete_096	GBR	Bronze	2020
athlete_097	GBR	Silver	2021
athlete_098	GER	Gold	2022
athlete_099	JPN	Bronze	2020
athlete_100	USA	Silver	2021
athlete_101	GER	Gold	2022
athlete_102	GBR	Silver	2020
athlete_103	GBR	Silver	2021
athlete_104	JPN	Silver	2022
athlete_105	USA	Bronze	2020
athlete_106	JPN	Gold	2021
athlete_107	GBR	Silver	2022
athlete_108	GER	Bronze	2020
athlete_109	GER	Silver	2021
athlete_110	GBR	Silver	2022
athlete_111	USA	Silver	2020
athlete_112	JPN	Silver	2021
athlete_113	JPN	Bronze	2022
athlete_114	GBR	Silver	2020
athlete_115	JPN	Silver	2021
athlete_116	GER	Bronze	2022
athlete_117	USA	Silver	2020
athlete_118	GER	Gold	2021
athlete_119	JPN	Gold	2022
athlete_120	JPN	Silver	2020
athlete_121	GER	Bronze	2021
athlete_122	USA	Bronze	2022
athlete_123	USA	Bronze	2020
athlete_124	GER	Silver	2021
athlete_125	GBR	Gold	2022
athlete_126	USA	Bronze	2020
athlete_127	GER	Bronze	2021
athlete_128	USA	Gold	2022
athlete_129	GER	Gold	2020
athlete_130	GBR	Gold	2021
athlete_131	JPN	Bronze	2022
athlete_132	GER	Gold	2020
athlete_133	USA	Bronze	2021
athlete_134	AUS	Gold	2022
athlete_135	GER	Bronze	2020
athlete_136	USA	Silver	2021
athlete_137	GER	Silver	2022
athlete_138	GBR	Silver	2020
athlete_139	USA	Gold	2021
athlete_140	USA	Bronze	2022
athlete_141	GER	Bronze	2020
athlete_142	GER	Bronze	2021
athlete_143	GBR	Bronze	2022
athlete_144	GER	Silver	2020
athlete_145	USA	Gold	2021
athlete_146	GER	Gold	2022
athlete_147	USA	Gold	2020
athlete_148	USA	Bronze	2021
athlete_149	USA	Silver	2022
athlete_150	JPN	Silver	2020
athlete_151	AUS	Gold	2021
athlete_152	JPN	Bronze	2022
athlete_153	JPN	Silver	2020
athlete_154	JPN	Bronze	2021
athlete_155	GER	Gold	2022
athlete_156	JPN	Silver	2020
athlete_157	JPN	Silver	2021
athlete_158	JPN	Bronze	2022
athlete_159	AUS	Bronze	2020
athlete_160	USA	Silver	2021
athlete_161	USA	Silver	2022
athlete_162	GBR	Silver	2020
athlete_163	GER	Gold	2021
athlete_164	GER	Silver	2022
athlete_165	GBR	Silver	2020
athlete_166	GER	Bronze	2021
athlete_167	JPN	Bronze	2022
athlete_168	GBR	Silver	2020
athlete_169	GER	Gold	2021
athlete_170	GBR	Bronze	2022
athlete_171	JPN	Bronze	2020
athlete_172	GER	Bronze	2021
athlete_173	GBR	Gold	2022
athlete_174	JPN	Silver	2020
athlete_175	USA	Gold	2021
athlete_176	USA	Bronze	2022
athlete_177	JPN	Silver	2020
athlete_178	USA	Bronze	2021
athlete_179	GBR	Bronze	2022
athlete_180	USA	Silver	2020
athlete_181	JPN	Gold	2021
athlete_182	USA	Silver	2022
athlete_183	USA	Gold	2020
athlete_184	USA	Gold	2021
athlete_185	GBR	Silver	2022
athlete_186	USA	Silver	2020
athlete_187	GBR	Bronze	2021
athlete_188	USA	Gold	2022
athlete_189	GER	Gold	2020
athlete_190	JPN	Gold	2021
athlete_191	USA	Bronze	2022
athlete_192	GER	Gold	2020
athlete_193	USA	Silver	2021
athlete_194	GER	Silver	2022
athlete_195	USA	Bronze	2020
athlete_196	USA	Bronze	2021
athlete_197	GER	Gold	2022
athlete_198	GBR	Gold	2020
athlete_199	GBR	Bronze	2021
athlete_200	USA	Gold	2022
athlete_201	GBR	Gold	2020
athlete_202	JPN	Bronze	2021
athlete_203	USA	Bronze	2022
athlete_204	GBR	Gold	2020
athlete_205	GBR	Bronze	2021
athlete_206	JPN	Silver	2022
athlete_207	AUS	Gold	2020
athlete_208	USA	Gold	2021
athlete_209	AUS	Bronze	2022
athlete_210	AUS	Silver	2020
athlete_211	GBR	Bronze	2021
athlete_212	JPN	Bronze	2022
athlete_213	GBR	Bronze	2020
athlete_214	USA	Bronze	2021
athlete_215	JPN	Silver	2022
athlete_216	JPN	Bronze	2020
athlete_217	JPN	Gold	2021
athlete_218	USA	Silver	2022
athlete_219	GBR	Silver	2020
athlete_220	USA	Bronze	2021
athlete_221	GBR	Bronze	2022
athlete_222	USA	Bronze	2020
athlete_223	GER	Bronze	2021
athlete_224	GBR	Bronze	2022
athlete_225	USA	Silver	2020
athlete_226	USA	Silver	2021
athlete_227	AUS	Bronze	2022
athlete_228	USA	Bronze	2020
athlete_229	USA	Bronze	2021
athlete_230	GBR	Gold	2022
athlete_231	JPN	Silver	2020
athlete_232	JPN	Bronze	2021
athlete_233	USA	Gold	2022
athlete_234	AUS	Bronze	2020
athlete_235	USA	Bronze	2021
athlete_236	GER	Gold	2022
athlete_237	USA	Gold	2020
athlete_238	GBR	Gold	2021
athlete_239	GER	Silver	2022
athlete_240	JPN	Bronze	2020
athlete_241	JPN	Silver	2021
athlete_242	AUS	Gold	2022
athlete_243	AUS	Gold	2020
athlete_244	GBR	Silver	2021
athlete_245	JPN	Gold	2022
athlete_246	GBR	Silver	2020
athlete_247	USA	Silver	2021
athlete_248	GBR	Silver	2022
athlete_249	JPN	Gold	2020
athlete_250	GER	Bronze	2021
athlete_251	AUS	Bronze	2022
athlete_252	GER	Silver	2020
athlete_253	USA	Bronze	2021
athlete_254	GBR	Bronze	2022
athlete_255	GBR	Bronze	2020
athlete_256	JPN	Bronze	2021
athlete_257	GER	Bronze	2022
athlete_258	AUS	Gold	2020
athlete_259	JPN	Gold	2021
athlete_260	USA	Gold	2022
athlete_261	USA	Silver	2020
athlete_262	GER	Silver	2021
athlete_263	AUS	Bronze	2022
athlete_264	USA	Gold	2020
athlete_265	GBR	Gold	2021
athlete_266	USA	Silver	2022
athlete_267	GBR	Bronze	2020
athlete_268	JPN	Silver	2021
athlete_269	JPN	Gold	2022
athlete_270	GER	Silver	2020
athlete_271	GER	Silver	2021
athlete_272	GER	Bronze	2022
athlete_273	GER	Bronze	2020
athlete_274	USA	Silver	2021
athlete_275	GBR	Gold	2022
athlete_276	JPN	Gold	2020
athlete_277	GER	Bronze	2021
athlete_278	AUS	Silver	2022
athlete_279	JPN	Silver	2020
athlete_280	GER	Gold	2021
athlete_281	AUS	Gold	2022
athlete_282	USA	Gold	2020
athlete_283	GER	Silver	2021
athlete_284	USA	Bronze	2022
athlete_285	JPN	Silver	2020
athlete_286	JPN	Bronze	2021
athlete_287	GBR	Bronze	2022
athlete_288	JPN	Silver	2020
athlete_289	GBR	Bronze	2021
athlete_290	USA	Bronze	2022
athlete_291	USA	Bronze	2020
athlete_292	USA	Bronze	2021
athlete_293	USA	Gold	2022
athlete_294	JPN	Bronze	2020
athlete_295	GER	Gold	2021
athlete_296	USA	Bronze	2022
athlete_297	JPN	Bronze	2020
athlete_298	USA	Gold	2021
athlete_299	AUS	Bronze	2022
athlete_300	USA	Gold	2020
athlete_301	USA	Silver	2021
athlete_302	JPN	Gold	2022
athlete_303	JPN	Bronze	2020
athlete_304	GER	Bronze	2021
athlete_305	JPN	Silver	2022
athlete_306	USA	Silver	2020
athlete_307	AUS	Silver	2021
athlete_308	USA	Bronze	2022
athlete_309	USA	Bronze	2020
athlete_310	GBR	Silver	2021
athlete_311	JPN	Bronze	2022
athlete_312	JPN	Gold	2020
athlete_313	AUS	Bronze	2021
athlete_314	GER	Bronze	2022
athlete_315	USA	Bronze	2020
athlete_316	USA	Bronze	2021
athlete_317	JPN	Bronze	2022
athlete_318	JPN	Silver	2020
athlete_319	JPN	Silver	2021
athlete_320	JPN	Silver	2022
athlete_321	USA	Silver	2020
athlete_322	JPN	Gold	2021
athlete_323	GER	Gold	2022
athlete_324	JPN	Silver	2020
athlete_325	GER	Gold	2021
athlete_326	USA	Silver	2022
athlete_327	GER	Silver	2020
athlete_328	GER	Silver	2021
athlete_329	GER	Silver	2022
athlete_330	GBR	Silver	2020
athlete_331	JPN	Gold	2021
athlete_332	AUS	Bronze	2022
athlete_333	AUS	Bronze	2020
athlete_334	JPN	Gold	2021
athlete_335	JPN	Gold	2022
athlete_336	JPN	Silver	2020
athlete_337	GER	Gold	2021
athlete_338	AUS	Gold	2022
athlete_339	JPN	Gold	2020
athlete_340	JPN	Gold	2021
athlete_341	JPN	Gold	2022
athlete_342	JPN	Gold	2020
athlete_343	USA	Gold	2021
athlete_344	USA	Bronze	2022
athlete_345	GER	Bronze	2020
athlete_346	GER	Bronze	2021
athlete_347	JPN	Silver	2022
athlete_348	USA	Silver	2020
athlete_349	JPN	Bronze	2021
athlete_350	GBR	Gold	2022
athlete_351	USA	Gold	2020
athlete_352	GER	Gold	2021
athlete_353	GER	Silver	2022
athlete_354	GBR	Bronze	2020
athlete_355	USA	Bronze	2021
athlete_356	GBR	Bronze	2022
athlete_357	GER	Bronze	2020
athlete_358	GER	Gold	2021
athlete_359	GER	Gold	2022
athlete_360	GER	Bronze	2020
athlete_361	AUS	Gold	2021
athlete_362	USA	Silver	2022
athlete_363	GER	Bronze	2020
athlete_364	JPN	Bronze	2021
athlete_365	USA	Gold	2022
athlete_366	GBR	Bronze	2020
athlete_367	GER	Silver	2021
athlete_368	JPN	Silver	2022
athlete_369	USA	Gold	2020
athlete_370	GBR	Bronze	2021
athlete_371	JPN	Bronze	2022
athlete_372	USA	Bronze	2020
athlete_373	JPN	Bronze	2021
athlete_374	JPN	Silver	2022
athlete_375	GER	Gold	2020
athlete_376	USA	Gold	2021
athlete_377	USA	Silver	2022
athlete_378	GBR	Bronze	2020
athlete_379	AUS	Silver	2021
athlete_380	GER	Bronze	2022
athlete_381	GER	Gold	2020
athlete_382	AUS	Bronze	2021
athlete_383	GER	Silver	2022
athlete_384	GER	Silver	2020
athlete_385	JPN	Bronze	2021
athlete_386	JPN	Bronze	2022
athlete_387	GER	Bronze	2020
athlete_388	GER	Silver	2021
athlete_389	JPN	Bronze	2022
athlete_390	GER	Silver	2020
athlete_391	JPN	Bronze	2021
athlete_392	JPN	Gold	2022
athlete_393	AUS	Silver	2020
athlete_394	USA	Bronze	2021
athlete_395	AUS	Bronze	2022
athlete_396	GBR	Gold	2020
athlete_397	USA	Bronze	2021
athlete_398	USA	Gold	2022
athlete_399	JPN	Silver	2020
athlete_400	USA	Bronze	2021
athlete_401	USA	Bronze	2022
athlete_402	JPN	Bronze	2020
athlete_403	JPN	Bronze	2021
athlete_404	USA	Gold	2022
athlete_405	GER	Gold	2020
athlete_406	JPN	Bronze	2021
athlete_407	JPN	Bronze	2022
athlete_408	USA	Silver	2020
athlete_409	AUS	Gold	2021
athlete_410	USA	Gold	2022
athlete_411	USA	Bronze	2020
athlete_412	AUS	Silver	2021
athlete_413	JPN	Bronze	2022
athlete_414	USA	Gold	2020
athlete_415	USA	Bronze	2021
athlete_416	USA	Silver	2022
athlete_417	USA	Gold	2020
athlete_418	USA	Silver	2021
athlete_419	AUS	Bronze	2022
athlete_420	USA	Silver	2020
athlete_421	JPN	Silver	2021
athlete_422	JPN	Bronze	2022
athlete_423	USA	Gold	2020
athlete_424	GBR	Gold	2021
athlete_425	USA	Silver	2022
athlete_426	JPN	Silver	2020
athlete_427	USA	Gold	2021
athlete_428	GBR	Bronze	2022
athlete_429	GER	Silver	2020
athlete_430	JPN	Bronze	2021
athlete_431	USA	Bronze	2022
athlete_432	AUS	Bronze	2020
athlete_433	GER	Bronze	2021
athlete_434	USA	Bronze	2022
athlete_435	GBR	Bronze	2020
athlete_436	GBR	Silver	2021
athlete_437	JPN	Silver	2022
athlete_438	GER	Bronze	2020
athlete_439	GER	Silver	2021
athlete_440	AUS	Bronze	2022
athlete_441	JPN	Gold	2020
athlete_442	USA	Gold	2021
athlete_443	USA	Gold	2022
athlete_444	GER	Gold	2020
athlete_445	GBR	Silver	2021
athlete_446	AUS	Silver	2022
athlete_447	AUS	Bronze	2020
athlete_448	GBR	Silver	2021
athlete_449	AUS	Bronze	2022
athlete_450	JPN	Gold	2020
athlete_451	USA	Bronze	2021
athlete_452	USA	Bronze	2022
athlete_453	USA	Silver	2020
athlete_454	USA	Bronze	2021
athlete_455	USA	Silver	2022
athlete_456	GER	Bronze	2020
athlete_457	AUS	Gold	2021
athlete_458	GER	Bronze	2022
athlete_459	GER	Silver	2020
athlete_460	USA	Bronze	2021
athlete_461	AUS	Gold	2022
athlete_462	GBR	Bronze	2020
athlete_463	GER	Silver	2021
athlete_464	AUS	Bronze	2022
athlete_465	JPN	Gold	2020
athlete_466	AUS	Bronze	2021
athlete_467	GBR	Bronze	2022
athlete_468	USA	Silver	2020
athlete_469	GER	Bronze	2021
athlete_470	USA	Gold	2022
athlete_471	GER	Bronze	2020
athlete_472	USA	Gold	2021
athlete_473	JPN	Bronze	2022
athlete_474	GER	Silver	2020
athlete_475	USA	Gold	2021
athlete_476	JPN	Silver	2022
athlete_477	AUS	Silver	2020
athlete_478	USA	Silver	2021
athlete_479	JPN	Bronze	2022
athlete_480	GER	Silver	2020
athlete_481	AUS	Bronze	2021
athlete_482	GER	Bronze	2022
athlete_483	AUS	Gold	2020
athlete_484	USA	Silver	2021
athlete_485	USA	Silver	2022
athlete_486	GBR	Bronze	2020
athlete_487	GER	Bronze	2021
athlete_488	GBR	Silver	2022
athlete_489	USA	Bronze	2020
athlete_490	USA	Silver	2021
athlete_491	AUS	Bronze	2022
athlete_492	USA	Bronze	2020
athlete_493	GER	Bronze	2021
athlete_494	GBR	Silver	2022
athlete_495	GER	Silver	2020
athlete_496	GBR	Bronze	2021
athlete_497	USA	Bronze	2022
athlete_498	AUS	Gold	2020
athlete_499	USA	Gold	2021
athlete_500	JPN	Bronze	2022
athlete_501	GBR	Silver	2020
athlete_502	GBR	Silver	2021
athlete_503	USA	Bronze	2022
athlete_504	GER	Silver	2020
athlete_505	USA	Silver	2021
athlete_506	JPN	Silver	2022
athlete_507	USA	Silver	2020
athlete_508	JPN	Gold	2021
athlete_509	GBR	Silver	2022
athlete_510	GER	Gold	2020
athlete_511	GER	Silver	2021
athlete_512	USA	Silver	2022
athlete_513	GER	Gold	2020
athlete_514	GER	Silver	2021
athlete_515	USA	Silver	2022
athlete_516	JPN	Bronze	2020
athlete_517	USA	Silver	2021
athlete_518	USA	Gold	2022
athlete_519	GBR	Bronze	2020
athlete_520	GBR	Gold	2021
athlete_521	AUS	Gold	2022
athlete_522	JPN	Gold	2020
athlete_523	USA	Silver	2021
athlete_524	AUS	Gold	2022
athlete_525	GER	Gold	2020
athlete_526	USA	Gold	2021
athlete_527	GER	Bronze	2022
athlete_528	JPN	Gold	2020
athlete_529	USA	Gold	2021
athlete_530	JPN	Bronze	2022
athlete_531	GER	Silver	2020
athlete_532	JPN	Gold	2021
athlete_533	JPN	Bronze	2022
athlete_534	JPN	Bronze	2020
athlete_535	JPN	Bronze	2021
athlete_536	USA	Bronze	2022
athlete_537	GBR	Silver	2020
athlete_538	GBR	Gold	2021
athlete_539	GBR	Gold	2022
athlete_540	USA	Bronze	2020
athlete_541	USA	Gold	2021
athlete_542	AUS	Bronze	2022
athlete_543	USA	Bronze	2020
athlete_544	USA	Bronze	2021
athlete_545	USA	Silver	2022
athlete_546	USA	Silver	2020
athlete_547	USA	Bronze	2021
athlete_548	GBR	Gold	2022
athlete_549	JPN	Silver	2020
athlete_550	AUS	Silver	2021
athlete_551	JPN	Silver	2022
athlete_552	GER	Bronze	2020
athlete_553	USA	Silver	2021
athlete_554	USA	Bronze	2022
athlete_555	GER	Bronze	2020
athlete_556	AUS	Gold	2021
athlete_557	GBR	Bronze	2022
athlete_558	GBR	Silver	2020
athlete_559	USA	Bronze	2021
athlete_560	JPN	Silver	2022
athlete_561	JPN	Silver	2020
athlete_562	USA	Silver	2021
athlete_563	GBR	Gold	2022
athlete_564	GER	Silver	2020
athlete_565	USA	Bronze	2021
athlete_566	JPN	Silver	2022
athlete_567	USA	Gold	2020
athlete_568	AUS	Bronze	2021
athlete_569	USA	Gold	2022
athlete_570	USA	Silver	2020
athlete_571	GER	Bronze	2021
athlete_572	USA	Bronze	2022
athlete_573	JPN	Bronze	2020
athlete_574	GBR	Silver	2021
athlete_575	USA	Silver	2022
athlete_576	JPN	Bronze	2020
athlete_577	USA	Bronze	2021
athlete_578	USA	Silver	2022
athlete_579	JPN	Bronze	2020
athlete_580	AUS	Silver	2021
athlete_581	USA	Bronze	2022
athlete_582	GER	Silver	2020
athlete_583	USA	Bronze	2021
athlete_584	USA	Gold	2022
athlete_585	GBR	Silver	2020
athlete_586	JPN	Bronze	2021
athlete_587	AUS	Bronze	2022
athlete_588	GER	Silver	2020
athlete_589	AUS	Silver	2021
athlete_590	USA	Gold	2022
athlete_591	GER	Gold	2020
athlete_592	USA	Silver	2021
athlete_593	JPN	Gold	2022
athlete_594	JPN	Gold	2020
athlete_595	USA	Bronze	2021
athlete_596	USA	Gold	2022
athlete_597	GER	Bronze	2020
athlete_598	AUS	Gold	2021
athlete_599	GBR	Bronze	2022
